fault_id,window_id,num_vectors,total_result_errors,total_carry_errors,total_bit_errors,error_vectors,error_rate,avg_bit_errors,max_bit_errors,avg_A,avg_B,avg_OP,A_ones_total,B_ones_total,ADD_tests,ADD_result_errors,ADD_carry_errors,ADD_bit_errors,ADD_error_rate,ADD_avg_bit_errors,ADD_max_bit_errors,AND_tests,AND_result_errors,AND_carry_errors,AND_bit_errors,AND_error_rate,AND_avg_bit_errors,AND_max_bit_errors,OR_tests,OR_result_errors,OR_carry_errors,OR_bit_errors,OR_error_rate,OR_avg_bit_errors,OR_max_bit_errors,XOR_tests,XOR_result_errors,XOR_carry_errors,XOR_bit_errors,XOR_error_rate,XOR_avg_bit_errors,XOR_max_bit_errors,s0_error_count,s1_error_count,s2_error_count,s3_error_count,expected_carry_count,actual_carry_count
2,24,32,7,0,11,7,0.21875,0.34375,2,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,7,0,11,0.875,1.375,2,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,0,4,2,5,3,3
2,25,32,8,0,18,8,0.25,0.5625,3,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,8,0,18,1.0,2.25,3,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,4,6,3,3
2,26,32,7,0,11,7,0.21875,0.34375,2,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,7,0,11,0.875,1.375,2,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,0,4,2,5,2,2
2,27,32,8,0,24,8,0.25,0.75,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,8,0,24,1.0,3.0,4,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,4,4,1,1
2,28,32,7,0,15,7,0.21875,0.46875,3,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,7,0,15,0.875,1.875,3,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,0,4,6,5,3,3
2,29,32,8,0,16,8,0.25,0.5,3,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,8,0,16,1.0,2.0,3,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,4,4,2,2
2,30,32,7,0,13,7,0.21875,0.40625,3,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,7,0,13,0.875,1.625,3,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,0,4,6,3,1,1
2,31,32,8,0,24,8,0.25,0.75,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,8,0,24,1.0,3.0,4,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,4,4,1,1
3,0,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,2,2
3,1,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,2,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,3,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,4,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,2,2
3,5,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,2,2
3,6,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,2,2
3,7,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,8,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,3,3
3,9,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,3,3
3,10,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,2,2
3,11,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,12,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,3,3
3,13,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,2,2
3,14,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,15,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,16,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,2,2
3,17,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,18,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,19,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,20,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,2,2
3,21,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,2,2
3,22,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,2,2
3,23,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,24,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,3,3
3,25,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,3,3
3,26,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,2,2
3,27,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,28,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,3,3
3,29,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,2,2
3,30,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
3,31,32,8,0,32,8,0.25,1.0,4,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,8,0,32,1.0,4.0,4,8,8,8,8,1,1
4,0,32,7,0,9,7,0.21875,0.28125,2,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,7,0,9,0.875,1.125,2,8,0,0,0,0.0,0.0,0,4,2,3,0,2,2
4,1,32,5,0,6,5,0.15625,0.1875,2,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,5,0,6,0.625,0.75,2,8,0,0,0,0.0,0.0,0,0,4,2,0,1,1
4,2,32,6,0,9,6,0.1875,0.28125,3,7.5,7.5,1.5,64,64,8,0,0,0,0.0,0.0,0,8,0,0,0,0.0,0.0,0,8,6,0,9,0.75,1.125,3,8,0,0,0,0.0,0.0,0,4,2,3,0,1,1
